dataset,method,metric,size,fitted_u_bar,fitted_I_max,u_bar_error,I_max_error
PBMC,RandomProjection,protein_counts,1000,4826.312,3.151,451.897,0.05
PBMC,RandomProjection,protein_counts,2154,5114.784,3.183,516.493,0.055
PBMC,RandomProjection,protein_counts,4641,4665.208,3.134,406.866,0.045
PBMC,RandomProjection,protein_counts,10000,4734.179,3.137,443.986,0.049
PBMC,RandomProjection,protein_counts,21544,4358.854,3.087,403.639,0.048
PBMC,RandomProjection,protein_counts,46415,4741.424,3.134,465.752,0.054
PBMC,RandomProjection,protein_counts,100000,5145.075,3.188,548.316,0.06
shendure,SCVI,author_day,100,1637.955,1.893,306.128,0.086
shendure,SCVI,author_day,359,956.249,1.836,171.391,0.075
shendure,SCVI,author_day,1291,635.833,1.847,111.754,0.069
shendure,SCVI,author_day,4641,792.822,2.298,124.622,0.071
shendure,SCVI,author_day,16681,535.01,2.229,73.113,0.058
shendure,SCVI,author_day,59948,367.444,2.14,71.354,0.077
shendure,SCVI,author_day,215443,384.315,2.277,31.982,0.034
shendure,SCVI,author_day,774263,311.121,2.246,36.436,0.046
shendure,SCVI,author_day,2782559,391.833,2.363,47.849,0.051
shendure,SCVI,author_day,10000000,315.554,2.47,22.274,0.029
PBMC,SCVI,celltype.l3,100,1095.263,2.879,110.541,0.046
PBMC,SCVI,celltype.l3,215,851.443,2.837,68.541,0.036
PBMC,SCVI,celltype.l3,464,730.81,2.867,61.815,0.037
PBMC,SCVI,celltype.l3,1000,781.182,2.978,87.219,0.047
PBMC,SCVI,celltype.l3,2154,686.994,3.042,61.684,0.039
PBMC,SCVI,celltype.l3,4641,885.138,3.27,65.509,0.034
PBMC,SCVI,celltype.l3,10000,1221.627,3.568,118.779,0.047
PBMC,SCVI,celltype.l3,21544,1196.279,3.602,117.237,0.05
PBMC,SCVI,celltype.l3,46415,1031.403,3.621,90.678,0.043
PBMC,SCVI,celltype.l3,100000,883.239,3.588,70.473,0.038
larry,SCVI,clone,100,845.029,0.892,142.82,0.045
larry,SCVI,clone,215,996.481,1.108,234.746,0.074
larry,SCVI,clone,464,706.541,1.175,155.912,0.067
larry,SCVI,clone,1000,998.038,1.534,202.228,0.077
larry,SCVI,clone,2154,1458.487,1.944,238.672,0.074
larry,SCVI,clone,4641,1152.251,1.99,143.817,0.055
larry,SCVI,clone,10000,1164.588,2.104,148.446,0.058
larry,SCVI,clone,21544,763.446,1.934,96.025,0.052
larry,SCVI,clone,46415,659.098,1.88,71.449,0.043
larry,SCVI,clone,100000,598.406,1.86,53.835,0.035
merfish,SCVI,ng_idx,100,280.123,1.054,65.87,0.084
merfish,SCVI,ng_idx,203,413.754,1.292,99.261,0.103
merfish,SCVI,ng_idx,414,463.916,1.403,90.021,0.088
merfish,SCVI,ng_idx,843,48957386.621,9.688,191750446427.448,2854.088
merfish,SCVI,ng_idx,1716,13109050.451,8.963,118656722198.478,6529.077
merfish,SCVI,ng_idx,3494,23495.076,4.781,208241.266,6.339
merfish,SCVI,ng_idx,7113,736.075,2.582,106.633,0.086
merfish,SCVI,ng_idx,14480,614.189,2.534,96.191,0.09
merfish,SCVI,ng_idx,29475,791.613,2.76,166.215,0.127
merfish,SCVI,ng_idx,60000,557.994,2.56,92.662,0.095
PBMC,SCVI,protein_counts,100,1029.365,3.091,171.191,0.078
PBMC,SCVI,protein_counts,215,766.448,2.978,118.573,0.07
PBMC,SCVI,protein_counts,464,616.7,3.012,117.109,0.084
PBMC,SCVI,protein_counts,1000,813.664,3.27,165.009,0.09
PBMC,SCVI,protein_counts,2154,807.395,3.422,170.926,0.1
PBMC,SCVI,protein_counts,4641,1366.767,3.896,294.263,0.109
PBMC,SCVI,protein_counts,10000,3339.671,4.588,419.18,0.072
PBMC,SCVI,protein_counts,21544,6967.891,5.162,814.342,0.074
PBMC,SCVI,protein_counts,46415,5215.642,5.106,569.938,0.067
PBMC,SCVI,protein_counts,100000,4861.098,5.177,656.446,0.082
