dataset,method,metric,quality,N0,s,I_inf,mean_residual
larry,Geneformer,clone,0.5395631,204.042,0.32,1.231,0.1
larry,Geneformer,clone,1.0,121.26,0.582,1.105,0.169
larry,PCA,clone,0.003876,2.6,1.052,0.03,0.085
larry,PCA,clone,0.0071835,5.18,1.078,0.094,0.047
larry,PCA,clone,0.0133136,18.668,1.051,0.167,0.073
larry,PCA,clone,0.0246748,1.423,1.049,0.239,0.072
larry,PCA,clone,0.0457311,25.937,1.045,0.454,0.088
larry,PCA,clone,0.0847557,30.104,1.04,0.663,0.09
larry,PCA,clone,0.1570821,23.087,1.048,0.896,0.078
larry,PCA,clone,0.2911284,24.618,0.979,1.098,0.079
larry,PCA,clone,0.5395631,31.526,1.044,1.346,0.095
larry,PCA,clone,1.0,22.783,1.039,1.554,0.072
larry,RandomProjection,clone,0.003876,0.591,1.051,0.073,0.002
larry,RandomProjection,clone,0.0071835,0.0,1.051,0.023,0.0
larry,RandomProjection,clone,0.0133136,0.0,1.051,0.021,0.0
larry,RandomProjection,clone,0.0246748,0.0,1.051,0.013,0.0
larry,RandomProjection,clone,0.0457311,0.266,1.051,0.032,0.001
larry,RandomProjection,clone,0.0847557,0.266,1.051,0.066,0.001
larry,RandomProjection,clone,0.1570821,0.064,1.051,0.136,0.0
larry,RandomProjection,clone,0.2911284,0.0,1.051,0.219,0.0
larry,RandomProjection,clone,0.5395631,0.0,1.051,0.311,0.0
larry,RandomProjection,clone,1.0,0.266,1.051,0.352,0.002
larry,SCVI,clone,0.003876,10.0,0.794,0.1,0.054
larry,SCVI,clone,0.0071835,10.0,0.839,0.1,0.05
larry,SCVI,clone,0.0133136,10.0,0.422,0.294,0.058
larry,SCVI,clone,0.0246748,1000000.0,0.062,1.778,0.051
larry,SCVI,clone,0.0457311,749.853,0.127,1.417,0.047
larry,SCVI,clone,0.0847557,221.292,0.19,1.418,0.067
larry,SCVI,clone,0.1570821,172.73,0.243,1.544,0.077
larry,SCVI,clone,0.2911284,148.983,0.359,1.633,0.057
larry,SCVI,clone,0.5395631,152.868,0.371,1.779,0.086
larry,SCVI,clone,1.0,273.803,0.314,2.009,0.126
merfish,Geneformer,ng_idx,0.027248,10.0,1.373,0.146,0.022
merfish,Geneformer,ng_idx,0.0406617,10.0,1.132,0.225,0.02
merfish,Geneformer,ng_idx,0.0606789,10.0,0.971,0.278,0.026
merfish,Geneformer,ng_idx,0.0905502,10.0,0.642,0.429,0.03
merfish,Geneformer,ng_idx,0.1351267,10.0,0.454,0.552,0.048
merfish,Geneformer,ng_idx,0.2016475,999999.999,0.048,1.895,0.03
merfish,Geneformer,ng_idx,0.3009156,18.76,0.172,1.093,0.035
merfish,Geneformer,ng_idx,0.4490518,38.173,0.312,1.055,0.074
merfish,Geneformer,ng_idx,0.6701133,111.626,0.249,1.337,0.061
merfish,Geneformer,ng_idx,1.0,107.36,0.332,1.409,0.101
merfish,PCA,ng_idx,0.027248,14.638,1.055,0.208,0.07
merfish,PCA,ng_idx,0.0406617,18.519,1.063,0.277,0.067
merfish,PCA,ng_idx,0.0606789,14.769,1.08,0.344,0.054
merfish,PCA,ng_idx,0.0905502,15.742,1.019,0.472,0.068
merfish,PCA,ng_idx,0.1351267,8.444,1.01,0.573,0.057
merfish,PCA,ng_idx,0.2016475,23.224,0.951,0.878,0.093
merfish,PCA,ng_idx,0.3009156,47.321,0.958,1.139,0.07
merfish,PCA,ng_idx,0.4490518,40.764,1.007,1.311,0.074
merfish,PCA,ng_idx,0.6701133,47.626,0.935,1.558,0.092
merfish,PCA,ng_idx,1.0,37.525,1.015,1.643,0.057
merfish,RandomProjection,ng_idx,0.027248,1.759,1.051,0.07,0.008
merfish,RandomProjection,ng_idx,0.0406617,0.191,1.051,0.083,0.001
merfish,RandomProjection,ng_idx,0.0606789,0.266,1.051,0.065,0.001
merfish,RandomProjection,ng_idx,0.0905502,3.531,1.051,0.166,0.022
merfish,RandomProjection,ng_idx,0.1351267,0.266,1.051,0.196,0.025
merfish,RandomProjection,ng_idx,0.2016475,1.397,1.051,0.251,0.008
merfish,RandomProjection,ng_idx,0.3009156,1.759,1.051,0.307,0.036
merfish,RandomProjection,ng_idx,0.4490518,1.759,1.051,0.378,0.018
merfish,RandomProjection,ng_idx,0.6701133,1.759,1.051,0.441,0.03
merfish,RandomProjection,ng_idx,1.0,0.438,1.051,0.511,0.009
merfish,SCVI,ng_idx,0.027248,10.0,0.622,0.232,0.038
merfish,SCVI,ng_idx,0.0406617,999999.947,0.043,1.564,0.038
merfish,SCVI,ng_idx,0.0606789,999999.958,0.05,1.706,0.043
merfish,SCVI,ng_idx,0.0905502,999999.77,0.067,1.985,0.073
merfish,SCVI,ng_idx,0.1351267,1000000.0,0.078,2.215,0.077
merfish,SCVI,ng_idx,0.2016475,999999.98,0.086,2.456,0.101
merfish,SCVI,ng_idx,0.3009156,1000000.0,0.098,2.798,0.107
merfish,SCVI,ng_idx,0.4490518,999999.872,0.102,3.031,0.1
merfish,SCVI,ng_idx,0.6701133,29102.462,0.139,2.76,0.099
merfish,SCVI,ng_idx,1.0,665.812,0.255,2.292,0.108
shendure,Geneformer,author_day,0.004,10.0,0.937,0.25,0.022
shendure,Geneformer,author_day,0.0073875,10.0,0.469,0.437,0.055
shendure,Geneformer,author_day,0.0136438,10.0,0.273,0.716,0.062
shendure,Geneformer,author_day,0.0251984,30.183,0.262,1.032,0.055
shendure,Geneformer,author_day,0.0465384,52.373,0.283,1.272,0.053
shendure,Geneformer,author_day,0.0859506,53.914,0.219,1.547,0.05
shendure,Geneformer,author_day,0.1587401,112.923,0.316,1.709,0.036
shendure,Geneformer,author_day,0.2931733,223.595,0.272,1.961,0.033
shendure,Geneformer,author_day,0.5414548,186.344,0.344,1.933,0.052
shendure,Geneformer,author_day,1.0,165.343,0.402,2.003,0.054
shendure,PCA,author_day,0.004,5.265,0.895,0.096,0.019
shendure,PCA,author_day,0.0073875,8.255,1.01,0.122,0.034
shendure,PCA,author_day,0.0136438,10.127,0.968,0.218,0.035
shendure,PCA,author_day,0.0251984,18.095,1.002,0.302,0.028
shendure,PCA,author_day,0.0465384,7.338,0.88,0.39,0.027
shendure,PCA,author_day,0.0859506,6.195,1.005,0.469,0.031
shendure,PCA,author_day,0.1587401,12.743,0.993,0.63,0.026
shendure,PCA,author_day,0.2931733,26.799,0.914,0.85,0.093
shendure,PCA,author_day,0.5414548,26.727,0.988,0.959,0.038
shendure,PCA,author_day,1.0,30.905,1.007,1.175,0.052
shendure,RandomProjection,author_day,0.004,0.064,1.051,0.007,0.0
shendure,RandomProjection,author_day,0.0073875,0.0,1.051,0.02,0.0
shendure,RandomProjection,author_day,0.0136438,0.0,1.051,0.06,0.0
shendure,RandomProjection,author_day,0.0251984,0.0,1.051,0.083,0.0
shendure,RandomProjection,author_day,0.0465384,0.0,1.051,0.101,0.0
shendure,RandomProjection,author_day,0.0859506,0.266,1.051,0.193,0.003
shendure,RandomProjection,author_day,0.1587401,0.0,1.051,0.285,0.0
shendure,RandomProjection,author_day,0.2931733,1.759,1.051,0.39,0.009
shendure,RandomProjection,author_day,0.5414548,0.064,1.051,0.476,0.0
shendure,RandomProjection,author_day,1.0,0.0,1.051,0.622,0.0
shendure,SCVI,author_day,0.004,1000000.0,0.035,1.368,0.029
shendure,SCVI,author_day,0.0073875,1000000.0,0.051,1.569,0.03
shendure,SCVI,author_day,0.0136438,1000000.0,0.061,1.829,0.039
shendure,SCVI,author_day,0.0251984,762.086,0.137,1.503,0.045
shendure,SCVI,author_day,0.0465384,900.914,0.15,1.787,0.05
shendure,SCVI,author_day,0.0859506,511.007,0.162,1.956,0.043
shendure,SCVI,author_day,0.1587401,288.272,0.169,2.115,0.062
shendure,SCVI,author_day,0.2931733,1091.236,0.109,2.489,0.091
shendure,SCVI,author_day,0.5414548,526.114,0.119,2.563,0.067
shendure,SCVI,author_day,1.0,207.768,0.156,2.597,0.059
